noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.35385,xyguassian,sym,1,0.1,1
0.30000000000000004,0.4284,xyguassian,sym,1,0.1,1
0.5000000000000001,0.4983,xyguassian,sym,1,0.1,1
0.7000000000000001,0.5716,xyguassian,sym,1,0.1,1
0.9000000000000001,0.64615,xyguassian,sym,1,0.1,1
0.1,0.35385,xyguassian,sym,1,0.2,1
0.30000000000000004,0.4284,xyguassian,sym,1,0.2,1
0.5000000000000001,0.4983,xyguassian,sym,1,0.2,1
0.7000000000000001,0.5716,xyguassian,sym,1,0.2,1
0.9000000000000001,0.64615,xyguassian,sym,1,0.2,1
0.1,0.37365,xyguassian,sym,1,0.1,2
0.30000000000000004,0.4352,xyguassian,sym,1,0.1,2
0.5000000000000001,0.4971,xyguassian,sym,1,0.1,2
0.7000000000000001,0.5648,xyguassian,sym,1,0.1,2
0.9000000000000001,0.62635,xyguassian,sym,1,0.1,2
0.1,0.37365,xyguassian,sym,1,0.2,2
0.30000000000000004,0.4352,xyguassian,sym,1,0.2,2
0.5000000000000001,0.4971,xyguassian,sym,1,0.2,2
0.7000000000000001,0.5648,xyguassian,sym,1,0.2,2
0.9000000000000001,0.62635,xyguassian,sym,1,0.2,2
0.1,0.3709,xyguassian,sym,1,0.1,3
0.30000000000000004,0.43665,xyguassian,sym,1,0.1,3
0.5000000000000001,0.49775,xyguassian,sym,1,0.1,3
0.7000000000000001,0.56335,xyguassian,sym,1,0.1,3
0.9000000000000001,0.6291,xyguassian,sym,1,0.1,3
0.1,0.3709,xyguassian,sym,1,0.2,3
0.30000000000000004,0.43665,xyguassian,sym,1,0.2,3
0.5000000000000001,0.49775,xyguassian,sym,1,0.2,3
0.7000000000000001,0.56335,xyguassian,sym,1,0.2,3
0.9000000000000001,0.6291,xyguassian,sym,1,0.2,3
0.1,0.4053,xyguassian,instance,1,0.1,1
0.30000000000000004,0.45315,xyguassian,instance,1,0.1,1
0.5000000000000001,0.50325,xyguassian,instance,1,0.1,1
0.7000000000000001,0.54685,xyguassian,instance,1,0.1,1
0.9000000000000001,0.5947,xyguassian,instance,1,0.1,1
0.1,0.4053,xyguassian,instance,1,0.2,1
0.30000000000000004,0.45315,xyguassian,instance,1,0.2,1
0.5000000000000001,0.50325,xyguassian,instance,1,0.2,1
0.7000000000000001,0.54685,xyguassian,instance,1,0.2,1
0.9000000000000001,0.5947,xyguassian,instance,1,0.2,1
0.1,0.4578,xyguassian,instance,1,0.1,2
0.30000000000000004,0.47655,xyguassian,instance,1,0.1,2
0.5000000000000001,0.50005,xyguassian,instance,1,0.1,2
0.7000000000000001,0.52345,xyguassian,instance,1,0.1,2
0.9000000000000001,0.5422,xyguassian,instance,1,0.1,2
0.1,0.4578,xyguassian,instance,1,0.2,2
0.30000000000000004,0.47655,xyguassian,instance,1,0.2,2
0.5000000000000001,0.50005,xyguassian,instance,1,0.2,2
0.7000000000000001,0.52345,xyguassian,instance,1,0.2,2
0.9000000000000001,0.5422,xyguassian,instance,1,0.2,2
0.1,0.36705,xyguassian,instance,1,0.1,3
0.30000000000000004,0.433,xyguassian,instance,1,0.1,3
0.5000000000000001,0.4991,xyguassian,instance,1,0.1,3
0.7000000000000001,0.567,xyguassian,instance,1,0.1,3
0.9000000000000001,0.63295,xyguassian,instance,1,0.1,3
0.1,0.36705,xyguassian,instance,1,0.2,3
0.30000000000000004,0.433,xyguassian,instance,1,0.2,3
0.5000000000000001,0.4991,xyguassian,instance,1,0.2,3
0.7000000000000001,0.567,xyguassian,instance,1,0.2,3
0.9000000000000001,0.63295,xyguassian,instance,1,0.2,3
0.1,0.35385,xyguassian,pair,1,0.1,1
0.30000000000000004,0.4284,xyguassian,pair,1,0.1,1
0.5000000000000001,0.4983,xyguassian,pair,1,0.1,1
0.7000000000000001,0.5716,xyguassian,pair,1,0.1,1
0.9000000000000001,0.64615,xyguassian,pair,1,0.1,1
0.1,0.35385,xyguassian,pair,1,0.2,1
0.30000000000000004,0.4284,xyguassian,pair,1,0.2,1
0.5000000000000001,0.4983,xyguassian,pair,1,0.2,1
0.7000000000000001,0.5716,xyguassian,pair,1,0.2,1
0.9000000000000001,0.64615,xyguassian,pair,1,0.2,1
0.1,0.37365,xyguassian,pair,1,0.1,2
0.30000000000000004,0.4352,xyguassian,pair,1,0.1,2
0.5000000000000001,0.4971,xyguassian,pair,1,0.1,2
0.7000000000000001,0.5648,xyguassian,pair,1,0.1,2
0.9000000000000001,0.62635,xyguassian,pair,1,0.1,2
0.1,0.37365,xyguassian,pair,1,0.2,2
0.30000000000000004,0.4352,xyguassian,pair,1,0.2,2
0.5000000000000001,0.4971,xyguassian,pair,1,0.2,2
0.7000000000000001,0.5648,xyguassian,pair,1,0.2,2
0.9000000000000001,0.62635,xyguassian,pair,1,0.2,2
0.1,0.3709,xyguassian,pair,1,0.1,3
0.30000000000000004,0.43665,xyguassian,pair,1,0.1,3
0.5000000000000001,0.49775,xyguassian,pair,1,0.1,3
0.7000000000000001,0.56335,xyguassian,pair,1,0.1,3
0.9000000000000001,0.6291,xyguassian,pair,1,0.1,3
0.1,0.3709,xyguassian,pair,1,0.2,3
0.30000000000000004,0.43665,xyguassian,pair,1,0.2,3
0.5000000000000001,0.49775,xyguassian,pair,1,0.2,3
0.7000000000000001,0.56335,xyguassian,pair,1,0.2,3
0.9000000000000001,0.6291,xyguassian,pair,1,0.2,3
0.1,0.2033,yxguassian,sym,0,0.1,1
0.30000000000000004,0.35245,yxguassian,sym,0,0.1,1
0.5000000000000001,0.49715,yxguassian,sym,0,0.1,1
0.7000000000000001,0.64755,yxguassian,sym,0,0.1,1
0.9000000000000001,0.7967,yxguassian,sym,0,0.1,1
0.1,0.2033,yxguassian,sym,0,0.2,1
0.30000000000000004,0.35245,yxguassian,sym,0,0.2,1
0.5000000000000001,0.49715,yxguassian,sym,0,0.2,1
0.7000000000000001,0.64755,yxguassian,sym,0,0.2,1
0.9000000000000001,0.7967,yxguassian,sym,0,0.2,1
0.1,0.2039,yxguassian,sym,0,0.1,2
0.30000000000000004,0.35315,yxguassian,sym,0,0.1,2
0.5000000000000001,0.50085,yxguassian,sym,0,0.1,2
