Dataset,Noise_Type,Noise_Rate,Method,Causality,Time
splice,instance,0.01,fci,anticausal,0:00:55.956706
splice,instance,0.01,icd,anticausal,1:36:40.344592
letter,instance,0.1,fci,anticausal,0:00:12.393203
letter,instance,0.1,icd,anticausal,0:01:52.737148
letter,instance,0.1,ccdr,unkown,0:00:07.294039
letter,pair,0.1,icd,anticausal,0:02:00.634112
letter,pair,0.1,ccdr,anticausal,0:00:07.802910
letter,sym,0.1,icd,anticausal,0:01:51.415853
letter,sym,0.1,ccdr,anticausal,0:00:07.895812
letter,instance,0.2,icd,anticausal,0:01:59.391863
letter,instance,0.2,ccdr,causal,0:00:07.793703
letter,pair,0.2,icd,anticausal,0:00:38.293734
letter,pair,0.2,ccdr,anticausal,0:00:07.229709
letter,sym,0.2,icd,anticausal,0:02:00.394548
letter,sym,0.2,ccdr,unkown,0:00:07.148541
letter,instance,0.3,icd,anticausal,0:00:08.469476
letter,instance,0.3,ccdr,causal,0:00:08.039978
letter,pair,0.3,icd,anticausal,0:01:59.404742
letter,pair,0.3,ccdr,causal,0:00:07.148411
letter,sym,0.3,icd,anticausal,0:01:55.809535
letter,sym,0.3,ccdr,anticausal,0:00:08.280420
iris,instance,0.01,pc,anticausal,
iris,instance,0.01,ges,anticausal,
iris,instance,0.01,gies,anticausal,
iris,instance,0.01,lingam,unkown,
iris,pair,0.01,pc,anticausal,
iris,pair,0.01,ges,anticausal,
iris,pair,0.01,gies,anticausal,
iris,pair,0.01,lingam,unkown,
iris,sym,0.01,pc,anticausal,
iris,sym,0.01,ges,anticausal,
iris,sym,0.01,gies,anticausal,
iris,sym,0.01,lingam,unkown,
iris,instance,0.2,pc,anticausal,
iris,instance,0.2,ges,causal,
iris,instance,0.2,gies,causal,
iris,instance,0.2,lingam,unkown,
iris,pair,0.2,pc,unkown,
iris,pair,0.2,ges,causal,
iris,pair,0.2,gies,causal,
iris,pair,0.2,lingam,unkown,
iris,sym,0.2,pc,causal,
iris,sym,0.2,ges,causal,
iris,sym,0.2,gies,causal,
iris,sym,0.2,lingam,unkown,
iris,instance,0.4,pc,unkown,
iris,instance,0.4,ges,causal,
iris,instance,0.4,gies,causal,
iris,instance,0.4,lingam,unkown,
iris,pair,0.4,pc,anticausal,
iris,pair,0.4,ges,causal,
iris,pair,0.4,gies,causal,
iris,pair,0.4,lingam,unkown,
iris,sym,0.4,pc,unkown,
iris,sym,0.4,ges,causal,
iris,sym,0.4,gies,causal,
iris,sym,0.4,lingam,unkown,
krkp,instance,0.01,pc,anticausal,
krkp,instance,0.01,ges,anticausal,
krkp,instance,0.01,gies,anticausal,
krkp,instance,0.01,lingam,unkown,
krkp,pair,0.01,pc,causal,
krkp,pair,0.01,ges,anticausal,
krkp,pair,0.01,gies,anticausal,
krkp,pair,0.01,lingam,unkown,
krkp,sym,0.01,pc,causal,
krkp,sym,0.01,ges,anticausal,
krkp,sym,0.01,gies,anticausal,
krkp,sym,0.01,lingam,unkown,
krkp,instance,0.2,pc,anticausal,
krkp,instance,0.2,ges,anticausal,
krkp,instance,0.2,gies,anticausal,
krkp,instance,0.2,lingam,unkown,
krkp,pair,0.2,pc,anticausal,
krkp,pair,0.2,ges,anticausal,
krkp,pair,0.2,gies,anticausal,
krkp,pair,0.2,lingam,unkown,
krkp,sym,0.2,pc,anticausal,
krkp,sym,0.2,ges,anticausal,
krkp,sym,0.2,gies,anticausal,
krkp,sym,0.2,lingam,unkown,
krkp,instance,0.4,pc,anticausal,
krkp,instance,0.4,ges,causal,
krkp,instance,0.4,gies,causal,
krkp,instance,0.4,lingam,unkown,
krkp,pair,0.4,pc,anticausal,
krkp,pair,0.4,ges,anticausal,
krkp,pair,0.4,gies,anticausal,
krkp,pair,0.4,lingam,unkown,
krkp,sym,0.4,pc,anticausal,
krkp,sym,0.4,ges,anticausal,
krkp,sym,0.4,gies,anticausal,
krkp,sym,0.4,lingam,unkown,
mushroom,instance,0.01,pc,causal,
mushroom,instance,0.01,ges,anticausal,
mushroom,instance,0.01,gies,anticausal,
mushroom,pair,0.01,pc,causal,
mushroom,pair,0.01,ges,anticausal,
mushroom,pair,0.01,gies,anticausal,
mushroom,sym,0.01,pc,causal,
mushroom,sym,0.01,ges,anticausal,
mushroom,sym,0.01,gies,anticausal,
mushroom,instance,0.2,pc,anticausal,
mushroom,instance,0.2,ges,anticausal,
mushroom,instance,0.2,gies,anticausal,
mushroom,pair,0.2,pc,anticausal,
mushroom,pair,0.2,ges,anticausal,
mushroom,pair,0.2,gies,anticausal,
mushroom,sym,0.2,pc,anticausal,
mushroom,sym,0.2,ges,anticausal,
mushroom,sym,0.2,gies,anticausal,
mushroom,instance,0.4,pc,unkown,
mushroom,instance,0.4,ges,anticausal,
mushroom,instance,0.4,gies,anticausal,
mushroom,pair,0.4,pc,anticausal,
mushroom,pair,0.4,ges,anticausal,
mushroom,pair,0.4,gies,anticausal,
mushroom,sym,0.4,pc,anticausal,
mushroom,sym,0.4,ges,anticausal,
mushroom,sym,0.4,gies,anticausal,
splice,instance,0.01,pc,anticausal,
splice,instance,0.01,ges,anticausal,
splice,instance,0.01,gies,anticausal,
splice,instance,0.01,lingam,unkown,
splice,pair,0.01,pc,anticausal,
splice,pair,0.01,ges,anticausal,
splice,pair,0.01,gies,anticausal,
splice,pair,0.01,lingam,unkown,
splice,sym,0.01,pc,anticausal,
splice,sym,0.01,ges,anticausal,
splice,sym,0.01,gies,anticausal,
splice,sym,0.01,lingam,unkown,
splice,instance,0.2,pc,anticausal,
splice,instance,0.2,ges,anticausal,
splice,instance,0.2,gies,anticausal,
splice,instance,0.2,lingam,unkown,
splice,pair,0.2,pc,anticausal,
splice,pair,0.2,ges,anticausal,
splice,pair,0.2,gies,anticausal,
splice,pair,0.2,lingam,unkown,
splice,sym,0.2,pc,anticausal,
splice,sym,0.2,ges,anticausal,
splice,sym,0.2,gies,anticausal,
splice,sym,0.2,lingam,unkown,
splice,instance,0.4,pc,anticausal,
splice,instance,0.4,ges,anticausal,
splice,instance,0.4,gies,anticausal,
splice,instance,0.4,lingam,unkown,
splice,pair,0.4,pc,anticausal,
splice,pair,0.4,ges,anticausal,
splice,pair,0.4,gies,anticausal,
splice,pair,0.4,lingam,unkown,
splice,sym,0.4,pc,anticausal,
splice,sym,0.4,ges,anticausal,
splice,sym,0.4,gies,anticausal,
splice,sym,0.4,lingam,unkown,
waveform,instance,0.01,pc,anticausal,
waveform,instance,0.01,ges,causal,
